@relation 'vehicle_autoencoded-weka.filters.unsupervised.attribute.MLPAutoencoder-N3-L0.01-O1.0E-6-P1-E1-weights-fileC:\\Program Files\\Weka-3-8-S1-seed1'

@attribute hidden_unit_0output numeric
@attribute hidden_unit_1output numeric
@attribute hidden_unit_2output numeric
@attribute Class {opel,saab,bus,van}

@data
0.000001,0.993721,0.000728,bus
0.021604,0.547184,0.026838,van
1,0.003994,0.000329,saab
0.999469,0.020945,0.645456,opel
0.995388,0.043739,0.738583,saab
0.000001,0.999345,0.999298,saab
1,0.011928,0.000001,opel
0.000263,0.000056,0.997339,van
0.999999,0.002719,0.000292,opel
1,0.133425,0.000008,opel
0.009451,0.987449,0.99679,opel
0.784861,0.000075,0.094728,opel
1,0.390614,0.000001,opel
0.000009,0.97391,0.998647,van
0.018531,0.976734,0.030324,van
0.000689,0.000044,0.999985,bus
0.034087,0.00006,0.493335,bus
1,0.007069,0.000183,saab
0.033383,0.894633,0.389132,saab
0,0.999988,0.999166,saab
1,0.999845,0,bus
0.000017,0.765814,0.9493,van
0.009265,0.013934,0.50505,saab
0.008678,0.371606,0.990958,van
0.000007,0.001337,0.978576,van
0.000021,0.000692,1,opel
0.496014,0.170489,0.993186,saab
0.014128,0.210167,0.272747,van
1,0.002481,0.000002,saab
0.000021,0.411973,0.999995,saab
0,0.991814,0.999996,van
