@relation 'vehicle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.75-A5-M-1'

@attribute '-0.317SCATTER RATIO-0.314SCALED VARIANCE_MINOR-0.314PR.AXIS RECTANGULARITY+0.314ELONGATEDNESS-0.309SCALED VARIANCE_MAJOR...' numeric
@attribute '-0.541KURTOSIS ABOUT_MINOR-0.539HOLLOWS RATIO+0.489SKEWNESS ABOUT_MAJOR+0.208SCALED RADIUS OF GYRATION-0.189RADIUS RATIO...' numeric
@attribute '-0.643PR.AXIS ASPECT RATIO-0.592MAX.LENGTH ASPECT RATIO-0.285SKEWNESS ABOUT_MAJOR-0.275RADIUS RATIO+0.119COMPACTNESS...' numeric
@attribute Class {opel,saab,bus,van}

@data
-0.965732,-2.179174,-0.03163,saab
2.908503,2.008416,0.740638,van
2.150541,0.043315,-0.032883,saab
1.704284,-2.012123,-0.994364,bus
2.198797,1.077419,-0.479246,bus
-0.152282,0.771765,0.410494,opel
-4.0375,-0.031127,0.796071,opel
-3.608517,-0.122547,0.231614,saab
-0.823015,-0.991553,0.596108,opel
1.606593,-3.342237,0.104894,van
-3.381326,1.179957,0.773882,opel
-4.630708,0.147328,0.327488,saab
-0.46239,0.575689,-11.927676,van
4.281198,-2.466613,0.529387,van
0.329708,1.502997,0.434826,van
-0.689018,-1.727061,-0.272064,opel
-4.635904,1.761938,0.822632,bus
-3.713985,0.64737,-0.250727,saab
-2.51251,-0.989856,0.338762,saab
-4.760772,-0.803627,0.343215,saab
0.681162,-2.197402,-1.024383,bus
-4.861722,-0.145502,-0.278818,opel
-0.10789,-2.169402,0.224986,saab
-0.364676,-1.326422,-0.792459,bus
-4.43803,0.475982,1.480273,opel
-4.166465,0.319235,0.062314,saab
0.999018,-0.809146,-0.065191,opel
-4.993637,-0.609259,-0.682318,saab
0.287788,0.061925,-0.499539,van
-2.055787,-1.646819,0.405601,opel
0.458035,-0.455085,-0.321911,van
3.368152,-0.521406,0.359711,van
-2.989314,-1.749692,0.011418,saab
0.556131,-2.572113,-0.758538,bus
4.20683,-0.257485,0.533561,opel
-3.332454,-0.258637,-0.940557,opel
-4.941899,0.123975,0.469304,opel
-4.791986,2.939823,1.658041,bus
1.629138,-0.277621,-1.106913,van
-6.796607,3.462245,1.937748,bus
4.085446,3.288467,0.137154,van
2.353834,0.18071,0.918631,opel
-3.557079,-0.366117,-0.287973,saab
-3.561382,1.757157,1.744713,bus
-3.623891,1.147186,0.467123,bus
0.672264,-1.331417,-0.551044,van
-4.215439,-0.296017,0.533104,saab
2.119881,-1.589716,-0.353022,bus
2.538622,-0.639519,0.484529,opel
-2.392721,-0.367876,-0.181072,saab
0.094584,-1.477044,-0.530555,van
1.949262,2.680586,-0.514109,bus
2.573279,-0.439289,0.055185,van
2.456171,2.748789,0.619615,bus
0.682294,-1.452841,-0.632607,van
-2.199799,0.261368,-0.61783,saab
0.124306,-1.185005,0.712617,saab
5.370291,1.818234,0.391239,van
0.89903,-2.804012,-0.957552,bus
2.262186,-2.628887,0.187534,saab
2.733517,-1.334551,-0.092144,van
4.502182,-0.240314,0.723858,van
-2.872235,0.64824,-0.462787,saab
1.79977,0.37054,0.888705,saab
2.040801,2.77171,-0.110358,bus
0.234945,1.859418,0.196623,van
-1.867434,-2.196963,0.425861,opel
-3.512342,-2.497778,0.725793,saab
2.375731,0.721093,-0.527328,van
-4.042392,0.12065,-0.791018,opel
-3.982927,0.557046,1.372393,saab
2.228523,2.586538,0.318735,bus
0.372666,-1.686278,-0.133548,saab
2.098127,-1.442426,-0.434369,bus
-2.072324,0.567877,-0.338006,opel
2.316208,-2.133879,0.152247,saab
2.238687,2.655188,0.522373,bus
-2.621821,-1.454756,-0.273794,opel
-2.565423,0.751094,-0.617854,opel
2.161561,1.340984,0.085257,bus
3.056801,-0.891336,-0.214942,van
0.659973,-1.468316,-0.658945,bus
-2.015495,-0.255401,-0.417452,saab
-4.561891,2.872627,2.562036,bus
-3.778456,-0.676242,0.537528,saab
3.407868,1.723912,1.075817,van
-2.852561,-0.600434,0.055637,saab
2.7207,-2.862078,-0.229345,van
-1.402939,-0.131978,-1.049259,opel
-4.350967,0.293541,0.091474,saab
4.9887,0.395195,0.776306,van
2.520678,3.033137,0.36673,bus
-4.868555,0.266863,-0.160777,saab
3.69753,-0.195784,0.531432,van
-4.509778,0.198087,0.533433,saab
1.190219,0.143582,0.414595,saab
2.596275,3.407525,0.584247,bus
2.284456,-0.719887,-0.57381,van
-2.951755,0.288859,1.398273,opel
-1.658271,-0.738328,0.307532,bus
1.81017,-0.262723,-0.52013,bus
4.233837,3.217182,0.411185,van
4.160937,-1.798246,0.92474,opel
-4.41147,-1.689813,0.702656,saab
-4.219091,1.169032,0.651958,opel
1.53059,-1.61452,-0.824873,bus
1.758903,-0.254717,-0.07715,van
4.05927,0.998221,0.554441,opel
0.175619,-1.339478,0.015034,opel
-1.308602,-1.520275,-0.602853,bus
-3.259358,-1.392147,0.182712,opel
2.207206,2.21419,-0.690631,bus
1.165208,0.399222,0.370291,saab
-3.618074,0.820949,0.802931,saab
1.849859,1.307997,0.286973,bus
4.132713,2.490476,0.406537,saab
-4.118731,1.107171,0.013071,opel
3.417038,0.358437,1.1992,opel
0.815957,-2.207971,-0.571994,bus
0.834987,2.065528,0.07962,van
2.313778,2.762814,0.384802,bus
1.367086,2.913797,-3.298336,bus
-0.012771,0.786788,-0.573937,van
-4.811142,-0.623641,0.387988,saab
-1.543378,-0.805852,-0.356324,opel
-1.067483,-0.688894,0.060065,saab
3.63877,1.529655,0.420514,saab
-4.93068,0.543042,-0.977726,opel
1.403705,-2.721181,-0.423025,van
-3.871095,-0.566938,-0.032453,opel
-4.588808,0.763471,0.423395,opel
1.691167,0.834378,0.249001,opel
-1.271455,-1.918404,-0.209251,opel
-4.578076,1.296185,0.720856,opel
2.924068,0.500078,0.88718,van
0.279728,1.569119,0.309422,van
1.945995,-3.305991,-0.366385,bus
-0.218911,-2.127364,-0.476248,bus
-4.206319,-0.3519,0.482802,saab
0.508186,0.782515,0.938181,saab
4.601126,2.574785,0.763956,saab
-7.040196,3.884829,2.020032,bus
2.142262,0.37325,0.074902,van
0.372833,-0.828115,0.345484,saab
1.257519,-0.350521,0.239103,van
1.928153,-1.686635,-0.189094,van
3.727494,-3.513411,0.772718,opel
0.446508,-0.609047,-0.202201,saab
0.318434,0.167518,-0.789637,van
-4.797244,-0.003088,-0.530093,saab
3.292955,-1.006512,0.353741,saab
4.759582,0.336693,0.57093,van
